review_id,user_id,review_text,product_name,product_type,created_at
00000028-1408,00000028,The Kindle Paperwhite is exactly what I was looking for. It's versatile and meets all my expectations for a E-reader.,Kindle Paperwhite,E-reader,2022-06-27 20:44:37.781985
00000029-2883,00000029,"Not quite what I hoped, but the Fitbit Charge 5 is fairly responsive and works well as a Fitness Tracker.",Fitbit Charge 5,Fitness Tracker,2022-11-15 20:44:37.782009
00000030-8283,00000030,The Fitbit Charge 5 is exactly what I was looking for. It's durable and meets all my expectations for a Fitness Tracker.,Fitbit Charge 5,Fitness Tracker,2023-04-21 20:44:37.782048
00000031-7951,00000031,Using the Nike Air Max has been fantastic! It’s sturdy and well worth the price for a Footwear.,Nike Air Max,Footwear,2022-04-09 20:44:37.782077
00000032-3729,00000032,"I was hesitant at first, but the Dell XPS 13 has proven to be user-friendly. It’s perfect for daily routine.",Dell XPS 13,Laptop,2024-06-02 20:44:37.782131
00000033-4340,00000033,"I recently bought the Instant Pot Duo, and it’s been a intuitive experience so far. I highly recommend it for anyone needing a reliable Cookware.",Instant Pot Duo,Cookware,2023-10-23 20:44:37.782185
00000034-4036,00000034,Absolutely thrilled with the Instant Pot Duo! It’s powerful and has made such a difference in my office work.,Instant Pot Duo,Cookware,2024-04-04 20:44:37.782214
00000035-3885,00000035,"The Nike Air Max could be better, but it’s generally efficient and gets the job done.",Nike Air Max,Footwear,2024-04-12 20:44:37.782239
00000036-6819,00000036,I love my new Amazon Echo Dot. It’s incredibly compact and has all the features I wanted in a Smart Speaker.,Amazon Echo Dot,Smart Speaker,2024-02-25 20:44:37.782264
00000037-7339,00000037,"I was hesitant at first, but the Amazon Echo Dot has proven to be versatile. It’s perfect for office work.",Amazon Echo Dot,Smart Speaker,2024-02-10 20:44:37.782288
00000038-3923,00000038,The Kindle Paperwhite has exceeded my expectations. It's very versatile and makes my daily tasks much easier.,Kindle Paperwhite,E-reader,2022-02-16 20:44:37.782313
00000039-8216,00000039,"I've had the Apple iPhone 13 for a month, and it’s quite efficient. Perfect for anyone who needs a good Smartphone.",Apple iPhone 13,Smartphone,2023-03-11 20:44:37.782337
00000040-8732,00000040,"Not quite what I hoped, but the Amazon Echo Dot is fairly intuitive and works well as a Smart Speaker.",Amazon Echo Dot,Smart Speaker,2023-09-20 20:44:37.782361
00000041-3731,00000041,Using the Instant Pot Duo has been fantastic! It’s durable and well worth the price for a Cookware.,Instant Pot Duo,Cookware,2023-04-22 20:44:37.782386
00000042-4920,00000042,"Not quite what I hoped, but the Nike Air Max is fairly durable and works well as a Footwear.",Nike Air Max,Footwear,2022-08-08 20:44:37.782410
00000043-2320,00000043,Using the Sony WH-1000XM4 has been fantastic! It’s intuitive and well worth the price for a Headphones.,Sony WH-1000XM4,Headphones,2022-09-03 20:44:37.782438
00000044-7109,00000044,"I recently bought the Kindle Paperwhite, and it’s been a responsive experience so far. I highly recommend it for anyone needing a reliable E-reader.",Kindle Paperwhite,E-reader,2022-12-18 20:44:37.782463
00000045-1317,00000045,"The Amazon Echo Dot could be better, but it’s generally intuitive and gets the job done.",Amazon Echo Dot,Smart Speaker,2023-06-14 20:44:37.782487
00000046-8081,00000046,"I've had the Dell XPS 13 for a month, and it’s quite user-friendly. Perfect for anyone who needs a good Laptop.",Dell XPS 13,Laptop,2023-10-06 20:44:37.783566
00000047-7502,00000047,"I've had the Dyson V11 Vacuum for a month, and it’s quite user-friendly. Perfect for anyone who needs a good Vacuum Cleaner.",Dyson V11 Vacuum,Vacuum Cleaner,2024-02-01 20:44:37.783696
00000048-1543,00000048,"Not quite what I hoped, but the Apple iPhone 13 is fairly intuitive and works well as a Smartphone.",Apple iPhone 13,Smartphone,2023-04-15 20:44:37.783761
00000049-3440,00000049,"I've had the Apple iPhone 13 for a month, and it’s quite compact. Perfect for anyone who needs a good Smartphone.",Apple iPhone 13,Smartphone,2023-08-02 20:44:37.783814
00000050-5353,00000050,"I've had the Kindle Paperwhite for a month, and it’s quite lightweight. Perfect for anyone who needs a good E-reader.",Kindle Paperwhite,E-reader,2024-03-09 20:44:37.783889
00000051-9990,00000051,The Nike Air Max has exceeded my expectations. It's very sturdy and makes my daily tasks much easier.,Nike Air Max,Footwear,2023-09-28 20:44:37.783933
00000052-6011,00000052,"The Amazon Echo Dot could be better, but it’s generally efficient and gets the job done.",Amazon Echo Dot,Smart Speaker,2022-05-15 20:44:37.783961
00000053-9064,00000053,Using the Kindle Paperwhite has been fantastic! It’s efficient and well worth the price for a E-reader.,Kindle Paperwhite,E-reader,2022-07-01 20:44:37.783988
00000054-9673,00000054,"I've had the Dyson V11 Vacuum for a month, and it’s quite versatile. Perfect for anyone who needs a good Vacuum Cleaner.",Dyson V11 Vacuum,Vacuum Cleaner,2024-05-31 20:44:37.784015
00000055-8927,00000055,Using the Apple iPhone 13 has been fantastic! It’s efficient and well worth the price for a Smartphone.,Apple iPhone 13,Smartphone,2024-02-24 20:44:37.784041
00000056-4811,00000056,"Not quite what I hoped, but the Nike Air Max is fairly intuitive and works well as a Footwear.",Nike Air Max,Footwear,2023-11-14 20:44:37.784080
00000057-9182,00000057,"The Kindle Paperwhite could be better, but it’s generally efficient and gets the job done.",Kindle Paperwhite,E-reader,2022-05-04 20:44:37.784106
00000058-9890,00000058,The Amazon Echo Dot has exceeded my expectations. It's very sturdy and makes my daily tasks much easier.,Amazon Echo Dot,Smart Speaker,2023-08-26 20:44:37.784130
00000059-4707,00000059,The Dell XPS 13 is exactly what I was looking for. It's compact and meets all my expectations for a Laptop.,Dell XPS 13,Laptop,2023-03-28 20:44:37.784155
00000060-2364,00000060,Absolutely thrilled with the Sony WH-1000XM4! It’s intuitive and has made such a difference in my reading sessions.,Sony WH-1000XM4,Headphones,2022-09-22 20:44:37.784180
00000061-1569,00000061,The Apple iPhone 13 is exactly what I was looking for. It's compact and meets all my expectations for a Smartphone.,Apple iPhone 13,Smartphone,2023-03-31 20:44:37.784205
00000062-3044,00000062,I love my new Instant Pot Duo. It’s incredibly versatile and has all the features I wanted in a Cookware.,Instant Pot Duo,Cookware,2022-07-06 20:44:37.784239
00000063-8399,00000063,"I was hesitant at first, but the Samsung Galaxy S21 has proven to be versatile. It’s perfect for commutes.",Samsung Galaxy S21,Smartphone,2022-10-30 20:44:37.784265
00000064-9597,00000064,"I recently bought the Fitbit Charge 5, and it’s been a user-friendly experience so far. I highly recommend it for anyone needing a reliable Fitness Tracker.",Fitbit Charge 5,Fitness Tracker,2022-07-27 20:44:37.784295
00000065-7217,00000065,Using the Sony WH-1000XM4 has been fantastic! It’s sturdy and well worth the price for a Headphones.,Sony WH-1000XM4,Headphones,2024-10-18 20:44:37.784321
00000066-7669,00000066,Using the Apple iPhone 13 has been fantastic! It’s versatile and well worth the price for a Smartphone.,Apple iPhone 13,Smartphone,2023-09-03 20:44:37.784347
00000067-3514,00000067,"I recently bought the Sony WH-1000XM4, and it’s been a durable experience so far. I highly recommend it for anyone needing a reliable Headphones.",Sony WH-1000XM4,Headphones,2022-07-14 20:44:37.784372
00000068-6044,00000068,I love my new Kindle Paperwhite. It’s incredibly versatile and has all the features I wanted in a E-reader.,Kindle Paperwhite,E-reader,2024-08-13 20:44:37.784397
00000069-2825,00000069,Absolutely thrilled with the Instant Pot Duo! It’s sturdy and has made such a difference in my office work.,Instant Pot Duo,Cookware,2023-02-07 20:44:37.784422
00000070-1271,00000070,"I recently bought the Samsung Galaxy S21, and it’s been a responsive experience so far. I highly recommend it for anyone needing a reliable Smartphone.",Samsung Galaxy S21,Smartphone,2024-02-08 20:44:37.784447
00000071-2824,00000071,Absolutely thrilled with the Sony WH-1000XM4! It’s user-friendly and has made such a difference in my reading sessions.,Sony WH-1000XM4,Headphones,2023-03-15 20:44:37.784471
00000072-2295,00000072,"I've had the Sony WH-1000XM4 for a month, and it’s quite versatile. Perfect for anyone who needs a good Headphones.",Sony WH-1000XM4,Headphones,2023-08-19 20:44:37.784497
00000073-6490,00000073,The Fitbit Charge 5 has exceeded my expectations. It's very lightweight and makes my daily tasks much easier.,Fitbit Charge 5,Fitness Tracker,2022-03-03 20:44:37.784522
00000074-8418,00000074,Absolutely thrilled with the Sony WH-1000XM4! It’s lightweight and has made such a difference in my office work.,Sony WH-1000XM4,Headphones,2022-04-02 20:44:37.784547
00000075-5265,00000075,"The Dyson V11 Vacuum could be better, but it’s generally powerful and gets the job done.",Dyson V11 Vacuum,Vacuum Cleaner,2023-02-08 20:44:37.784571
00000076-6760,00000076,I love my new Kindle Paperwhite. It’s incredibly user-friendly and has all the features I wanted in a E-reader.,Kindle Paperwhite,E-reader,2022-03-19 20:44:37.784599
00000077-2972,00000077,"I've had the Amazon Echo Dot for a month, and it’s quite efficient. Perfect for anyone who needs a good Smart Speaker.",Amazon Echo Dot,Smart Speaker,2023-11-12 20:44:37.784623
00000078-3169,00000078,"The Sony WH-1000XM4 could be better, but it’s generally durable and gets the job done.",Sony WH-1000XM4,Headphones,2024-10-13 20:44:37.784648
00000079-4466,00000079,"Not quite what I hoped, but the Sony WH-1000XM4 is fairly user-friendly and works well as a Headphones.",Sony WH-1000XM4,Headphones,2024-11-05 20:44:37.784673
00000080-6058,00000080,"Not quite what I hoped, but the Apple iPhone 13 is fairly versatile and works well as a Smartphone.",Apple iPhone 13,Smartphone,2023-04-22 20:44:37.784698
00000081-4794,00000081,"I recently bought the Instant Pot Duo, and it’s been a versatile experience so far. I highly recommend it for anyone needing a reliable Cookware.",Instant Pot Duo,Cookware,2022-06-22 20:44:37.784723
00000082-7404,00000082,The Instant Pot Duo has exceeded my expectations. It's very compact and makes my daily tasks much easier.,Instant Pot Duo,Cookware,2023-12-05 20:44:37.784748
00000083-6793,00000083,The Apple iPhone 13 has exceeded my expectations. It's very intuitive and makes my daily tasks much easier.,Apple iPhone 13,Smartphone,2022-06-01 20:44:37.784771
00000084-5795,00000084,"I've had the Dell XPS 13 for a month, and it’s quite sturdy. Perfect for anyone who needs a good Laptop.",Dell XPS 13,Laptop,2023-05-12 20:44:37.784796
00000085-1686,00000085,Absolutely thrilled with the Kindle Paperwhite! It’s versatile and has made such a difference in my reading sessions.,Kindle Paperwhite,E-reader,2024-08-29 20:44:37.784820
00000086-6513,00000086,I love my new Sony WH-1000XM4. It’s incredibly intuitive and has all the features I wanted in a Headphones.,Sony WH-1000XM4,Headphones,2023-08-17 20:44:37.784845
00000087-7246,00000087,The Sony WH-1000XM4 is exactly what I was looking for. It's compact and meets all my expectations for a Headphones.,Sony WH-1000XM4,Headphones,2024-04-05 20:44:37.784871
00000088-4146,00000088,"Not quite what I hoped, but the Kindle Paperwhite is fairly compact and works well as a E-reader.",Kindle Paperwhite,E-reader,2023-01-05 20:44:37.784894
00000089-4105,00000089,"Not quite what I hoped, but the Sony WH-1000XM4 is fairly efficient and works well as a Headphones.",Sony WH-1000XM4,Headphones,2024-04-20 20:44:37.784918
00000090-4198,00000090,Absolutely thrilled with the Dyson V11 Vacuum! It’s powerful and has made such a difference in my commutes.,Dyson V11 Vacuum,Vacuum Cleaner,2023-03-21 20:44:37.784951
00000091-2154,00000091,The Samsung Galaxy S21 has exceeded my expectations. It's very versatile and makes my daily tasks much easier.,Samsung Galaxy S21,Smartphone,2023-06-30 20:44:37.784992
00000092-8624,00000092,The Sony WH-1000XM4 is exactly what I was looking for. It's lightweight and meets all my expectations for a Headphones.,Sony WH-1000XM4,Headphones,2024-05-17 20:44:37.785019
00000093-3174,00000093,"Not quite what I hoped, but the Fitbit Charge 5 is fairly versatile and works well as a Fitness Tracker.",Fitbit Charge 5,Fitness Tracker,2023-05-22 20:44:37.785044
00000094-5561,00000094,Absolutely thrilled with the Instant Pot Duo! It’s efficient and has made such a difference in my daily routine.,Instant Pot Duo,Cookware,2023-03-18 20:44:37.785070
00000095-1399,00000095,The Dell XPS 13 has exceeded my expectations. It's very user-friendly and makes my daily tasks much easier.,Dell XPS 13,Laptop,2024-11-05 20:44:37.785093
00000096-3995,00000096,The Samsung Galaxy S21 has exceeded my expectations. It's very lightweight and makes my daily tasks much easier.,Samsung Galaxy S21,Smartphone,2023-09-21 20:44:37.785118
00000097-3068,00000097,"Not quite what I hoped, but the Nike Air Max is fairly durable and works well as a Footwear.",Nike Air Max,Footwear,2024-07-12 20:44:37.785142
00000098-8547,00000098,The Samsung Galaxy S21 has exceeded my expectations. It's very lightweight and makes my daily tasks much easier.,Samsung Galaxy S21,Smartphone,2024-02-27 20:44:37.785165
00000099-4260,00000099,"Not quite what I hoped, but the Fitbit Charge 5 is fairly compact and works well as a Fitness Tracker.",Fitbit Charge 5,Fitness Tracker,2022-10-19 20:44:37.785191
00000100-4081,00000100,"Not quite what I hoped, but the Fitbit Charge 5 is fairly lightweight and works well as a Fitness Tracker.",Fitbit Charge 5,Fitness Tracker,2024-04-05 20:44:37.785215
00000101-8413,00000101,"The Apple iPhone 13 could be better, but it’s generally compact and gets the job done.",Apple iPhone 13,Smartphone,2022-05-08 20:44:37.785239
00000102-4052,00000102,"Not quite what I hoped, but the Dell XPS 13 is fairly lightweight and works well as a Laptop.",Dell XPS 13,Laptop,2022-09-07 20:44:37.785264
00000103-2089,00000103,"Not quite what I hoped, but the Dell XPS 13 is fairly lightweight and works well as a Laptop.",Dell XPS 13,Laptop,2024-02-04 20:44:37.785288
00000104-3660,00000104,The Instant Pot Duo has exceeded my expectations. It's very intuitive and makes my daily tasks much easier.,Instant Pot Duo,Cookware,2022-07-05 20:44:37.785311
00000105-8332,00000105,"I've had the Fitbit Charge 5 for a month, and it’s quite versatile. Perfect for anyone who needs a good Fitness Tracker.",Fitbit Charge 5,Fitness Tracker,2022-12-27 20:44:37.785335
00000106-9464,00000106,"I recently bought the Samsung Galaxy S21, and it’s been a powerful experience so far. I highly recommend it for anyone needing a reliable Smartphone.",Samsung Galaxy S21,Smartphone,2023-05-05 20:44:37.785360
00000107-9820,00000107,"Not quite what I hoped, but the Apple iPhone 13 is fairly powerful and works well as a Smartphone.",Apple iPhone 13,Smartphone,2022-08-18 20:44:37.785384
00000108-5919,00000108,"The Dyson V11 Vacuum could be better, but it’s generally versatile and gets the job done.",Dyson V11 Vacuum,Vacuum Cleaner,2022-05-24 20:44:37.785408
00000109-4992,00000109,"I've had the Dyson V11 Vacuum for a month, and it’s quite powerful. Perfect for anyone who needs a good Vacuum Cleaner.",Dyson V11 Vacuum,Vacuum Cleaner,2022-04-02 20:44:37.785432
00000110-9596,00000110,The Fitbit Charge 5 is exactly what I was looking for. It's powerful and meets all my expectations for a Fitness Tracker.,Fitbit Charge 5,Fitness Tracker,2023-02-03 20:44:37.785457
00000111-5655,00000111,"I was hesitant at first, but the Apple iPhone 13 has proven to be intuitive. It’s perfect for home use.",Apple iPhone 13,Smartphone,2023-04-13 20:44:37.785481
00000112-2024,00000112,"I recently bought the Amazon Echo Dot, and it’s been a lightweight experience so far. I highly recommend it for anyone needing a reliable Smart Speaker.",Amazon Echo Dot,Smart Speaker,2024-04-02 20:44:37.785508
00000113-9097,00000113,"Not quite what I hoped, but the Dell XPS 13 is fairly user-friendly and works well as a Laptop.",Dell XPS 13,Laptop,2022-12-26 20:44:37.785532
00000114-9446,00000114,Using the Apple iPhone 13 has been fantastic! It’s intuitive and well worth the price for a Smartphone.,Apple iPhone 13,Smartphone,2022-03-17 20:44:37.785556
00000115-6103,00000115,The Instant Pot Duo has exceeded my expectations. It's very compact and makes my daily tasks much easier.,Instant Pot Duo,Cookware,2022-08-13 20:44:37.785581
00000116-7366,00000116,I love my new Dell XPS 13. It’s incredibly durable and has all the features I wanted in a Laptop.,Dell XPS 13,Laptop,2024-04-07 20:44:37.785620
00000117-6232,00000117,Using the Sony WH-1000XM4 has been fantastic! It’s user-friendly and well worth the price for a Headphones.,Sony WH-1000XM4,Headphones,2022-07-21 20:44:37.785659
00000118-2776,00000118,"Not quite what I hoped, but the Samsung Galaxy S21 is fairly user-friendly and works well as a Smartphone.",Samsung Galaxy S21,Smartphone,2023-11-16 20:44:37.785687
00000119-5684,00000119,I love my new Dell XPS 13. It’s incredibly responsive and has all the features I wanted in a Laptop.,Dell XPS 13,Laptop,2022-09-23 20:44:37.785712
00000120-5144,00000120,Using the Nike Air Max has been fantastic! It’s compact and well worth the price for a Footwear.,Nike Air Max,Footwear,2022-09-11 20:44:37.785736
00000121-3194,00000121,The Kindle Paperwhite has exceeded my expectations. It's very efficient and makes my daily tasks much easier.,Kindle Paperwhite,E-reader,2023-01-01 20:44:37.785760
00000122-9766,00000122,"I recently bought the Nike Air Max, and it’s been a user-friendly experience so far. I highly recommend it for anyone needing a reliable Footwear.",Nike Air Max,Footwear,2023-11-08 20:44:37.785784
00000123-4431,00000123,"I was hesitant at first, but the Samsung Galaxy S21 has proven to be compact. It’s perfect for cooking.",Samsung Galaxy S21,Smartphone,2023-08-31 20:44:37.785808
00000124-7779,00000124,The Instant Pot Duo is exactly what I was looking for. It's durable and meets all my expectations for a Cookware.,Instant Pot Duo,Cookware,2023-03-23 20:44:37.785832
00000125-1714,00000125,"I recently bought the Fitbit Charge 5, and it’s been a compact experience so far. I highly recommend it for anyone needing a reliable Fitness Tracker.",Fitbit Charge 5,Fitness Tracker,2023-03-28 20:44:37.785872
00000126-8098,00000126,"I've had the Sony WH-1000XM4 for a month, and it’s quite durable. Perfect for anyone who needs a good Headphones.",Sony WH-1000XM4,Headphones,2024-02-06 20:44:37.785899
00000127-8126,00000127,"I've had the Dell XPS 13 for a month, and it’s quite intuitive. Perfect for anyone who needs a good Laptop.",Dell XPS 13,Laptop,2024-10-27 20:44:37.785924
00000128-9496,00000128,Using the Fitbit Charge 5 has been fantastic! It’s sturdy and well worth the price for a Fitness Tracker.,Fitbit Charge 5,Fitness Tracker,2023-11-08 20:44:37.785948
00000129-4108,00000129,The Instant Pot Duo is exactly what I was looking for. It's durable and meets all my expectations for a Cookware.,Instant Pot Duo,Cookware,2022-07-27 20:44:37.785973
00000130-6820,00000130,"I've had the Amazon Echo Dot for a month, and it’s quite powerful. Perfect for anyone who needs a good Smart Speaker.",Amazon Echo Dot,Smart Speaker,2022-03-15 20:44:37.786005
00000131-5528,00000131,"I recently bought the Dell XPS 13, and it’s been a versatile experience so far. I highly recommend it for anyone needing a reliable Laptop.",Dell XPS 13,Laptop,2022-03-30 20:44:37.786032
00000132-6882,00000132,Using the Dell XPS 13 has been fantastic! It’s powerful and well worth the price for a Laptop.,Dell XPS 13,Laptop,2024-06-09 20:44:37.786074
00000133-3272,00000133,Using the Dyson V11 Vacuum has been fantastic! It’s powerful and well worth the price for a Vacuum Cleaner.,Dyson V11 Vacuum,Vacuum Cleaner,2024-11-03 20:44:37.786106
00000134-4859,00000134,"I was hesitant at first, but the Apple iPhone 13 has proven to be efficient. It’s perfect for office work.",Apple iPhone 13,Smartphone,2024-06-27 20:44:37.786240
00000135-4167,00000135,Using the Samsung Galaxy S21 has been fantastic! It’s powerful and well worth the price for a Smartphone.,Samsung Galaxy S21,Smartphone,2024-06-08 20:44:37.786266
00000136-4252,00000136,"I've had the Instant Pot Duo for a month, and it’s quite efficient. Perfect for anyone who needs a good Cookware.",Instant Pot Duo,Cookware,2023-12-08 20:44:37.786294
00000137-7221,00000137,Absolutely thrilled with the Kindle Paperwhite! It’s lightweight and has made such a difference in my workout.,Kindle Paperwhite,E-reader,2024-07-02 20:44:37.786321
00000138-7497,00000138,"I've had the Instant Pot Duo for a month, and it’s quite sturdy. Perfect for anyone who needs a good Cookware.",Instant Pot Duo,Cookware,2022-07-22 20:44:37.786346
00000139-2387,00000139,"The Dell XPS 13 could be better, but it’s generally intuitive and gets the job done.",Dell XPS 13,Laptop,2024-02-09 20:44:37.786370
00000140-5955,00000140,The Apple iPhone 13 is exactly what I was looking for. It's durable and meets all my expectations for a Smartphone.,Apple iPhone 13,Smartphone,2022-02-14 20:44:37.786394
00000141-3820,00000141,"Not quite what I hoped, but the Apple iPhone 13 is fairly intuitive and works well as a Smartphone.",Apple iPhone 13,Smartphone,2022-10-05 20:44:37.786422
00000142-9679,00000142,Absolutely thrilled with the Nike Air Max! It’s versatile and has made such a difference in my daily routine.,Nike Air Max,Footwear,2023-11-19 20:44:37.786446
00000143-9474,00000143,Absolutely thrilled with the Fitbit Charge 5! It’s sturdy and has made such a difference in my home use.,Fitbit Charge 5,Fitness Tracker,2023-08-29 20:44:37.786470
00000144-3370,00000144,I love my new Fitbit Charge 5. It’s incredibly responsive and has all the features I wanted in a Fitness Tracker.,Fitbit Charge 5,Fitness Tracker,2022-10-24 20:44:37.786494
00000145-4926,00000145,"I recently bought the Dyson V11 Vacuum, and it’s been a powerful experience so far. I highly recommend it for anyone needing a reliable Vacuum Cleaner.",Dyson V11 Vacuum,Vacuum Cleaner,2024-05-06 20:44:37.786520
00000146-9028,00000146,I love my new Amazon Echo Dot. It’s incredibly efficient and has all the features I wanted in a Smart Speaker.,Amazon Echo Dot,Smart Speaker,2023-09-05 20:44:37.786545
00000147-2704,00000147,"I recently bought the Kindle Paperwhite, and it’s been a powerful experience so far. I highly recommend it for anyone needing a reliable E-reader.",Kindle Paperwhite,E-reader,2023-06-01 20:44:37.786568
00000148-6949,00000148,I love my new Apple iPhone 13. It’s incredibly lightweight and has all the features I wanted in a Smartphone.,Apple iPhone 13,Smartphone,2022-11-22 20:44:37.786593
00000149-5222,00000149,I love my new Dyson V11 Vacuum. It’s incredibly durable and has all the features I wanted in a Vacuum Cleaner.,Dyson V11 Vacuum,Vacuum Cleaner,2023-07-25 20:44:37.786618
00000150-9692,00000150,The Amazon Echo Dot has exceeded my expectations. It's very versatile and makes my daily tasks much easier.,Amazon Echo Dot,Smart Speaker,2023-08-21 20:44:37.786643
00000151-2311,00000151,"I've had the Instant Pot Duo for a month, and it’s quite versatile. Perfect for anyone who needs a good Cookware.",Instant Pot Duo,Cookware,2022-05-15 20:44:37.786667
00000152-6339,00000152,"I've had the Kindle Paperwhite for a month, and it’s quite intuitive. Perfect for anyone who needs a good E-reader.",Kindle Paperwhite,E-reader,2024-01-21 20:44:37.786692
00000153-2197,00000153,"I've had the Samsung Galaxy S21 for a month, and it’s quite user-friendly. Perfect for anyone who needs a good Smartphone.",Samsung Galaxy S21,Smartphone,2022-09-12 20:44:37.786716
00000154-6537,00000154,"The Nike Air Max could be better, but it’s generally user-friendly and gets the job done.",Nike Air Max,Footwear,2024-02-24 20:44:37.786740
00000155-5073,00000155,"The Kindle Paperwhite could be better, but it’s generally durable and gets the job done.",Kindle Paperwhite,E-reader,2022-02-20 20:44:37.786763
00000156-7849,00000156,The Kindle Paperwhite is exactly what I was looking for. It's responsive and meets all my expectations for a E-reader.,Kindle Paperwhite,E-reader,2024-06-18 20:44:37.786787
00000157-2176,00000157,I love my new Instant Pot Duo. It’s incredibly compact and has all the features I wanted in a Cookware.,Instant Pot Duo,Cookware,2022-10-25 20:44:37.786812
